reaction_id,pathway,in_selected_cycle,route_class,reactants,products,k1_author,active_at_reference,subsystem_files
re0000000144,Gly,false,degradation_sink,GlyRS_AMP:1,GlyRS_degraded:1|AMP:1,0.0,false,Aminoacylation_A_Gly
re0000000145,Gly,true,enzyme_cycle_or_branch,GlyRS_AMP:1,GlyRS:1|AMP:1,1000.0,true,Aminoacylation_A_Gly
re0000000146,Gly,false,enzyme_cycle_or_branch,GlyRS:1|AMP:1,GlyRS_AMP:1,0.0,false,Aminoacylation_A_Gly
re0000000147,Gly,false,enzyme_cycle_or_branch,GlyRS_GlyAMP:1,GlyRS:1|GlyAMP:1,0.07,true,Aminoacylation_A_Gly
re0000000148,Gly,false,enzyme_cycle_or_branch,GlyRS:1|GlyAMP:1,GlyRS_GlyAMP:1,2.4,true,Aminoacylation_A_Gly
re0000000149,Gly,false,free_adenylate_synthesis,Gly:1|AMP:1,GlyAMP:1,0.0,false,Aminoacylation_A_Gly
re0000000150,Gly,false,enzyme_cycle_or_branch,GlyRS_GlyAMP:1|PPi:1,GlyRS_GlyAMP_PPi:1,0.0,false,Aminoacylation_A_Gly
re0000000151,Met,false,enzyme_cycle_or_branch,MetRS:1|Met:1,MetRS_Met:1,5.0,true,Aminoacylation_A_Met
re0000000152,Met,false,enzyme_cycle_or_branch,MetRS_MetAMP_PPi:1,MetRS_MetAMP:1|PPi:1,1000.0,true,Aminoacylation_A_Met
re0000000153,Met,false,degradation_sink,MetRS:1,MetRS_degraded:1,0.0,false,Aminoacylation_A_Met
re0000000154,Met,false,degradation_sink,MetRS_Met_ATP:1,MetRS_degraded:1|Met:1|ATP:1,0.0,false,Aminoacylation_A_Met
re0000000155,Met,false,degradation_sink,MetRS_MetAMP:1,MetRS_degraded:1|MetAMP:1,0.0,false,Aminoacylation_A_Met
re0000000156,Met,false,enzyme_cycle_or_branch,MetRS_Met:1,MetRS:1|Met:1,350.0,true,Aminoacylation_A_Met
re0000000157,Met,true,enzyme_cycle_or_branch,MetRS:1|ATP:1,MetRS_ATP:1,10.0,true,Aminoacylation_A_Met
re0000000158,Met,false,enzyme_cycle_or_branch,MetRS_ATP:1,MetRS:1|ATP:1,2500.0,true,Aminoacylation_A_Met
re0000000159,Met,true,enzyme_cycle_or_branch,MetRS_ATP:1|Met:1,MetRS_Met_ATP:1,5.0,true,Aminoacylation_A_Met
re0000000160,Met,false,enzyme_cycle_or_branch,MetRS_Met_ATP:1,MetRS_ATP:1|Met:1,350.0,true,Aminoacylation_A_Met
re0000000161,Met,false,enzyme_cycle_or_branch,MetRS_Met:1|ATP:1,MetRS_Met_ATP:1,10.0,true,Aminoacylation_A_Met
re0000000162,Met,false,enzyme_cycle_or_branch,MetRS_Met_ATP:1,MetRS_Met:1|ATP:1,2500.0,true,Aminoacylation_A_Met
re0000000163,Met,false,degradation_sink,MetRS_ATP:1,MetRS_degraded:1|ATP:1,0.0,false,Aminoacylation_A_Met
re0000000164,Met,false,degradation_sink,MetRS_Met:1,MetRS_degraded:1|Met:1,0.0,false,Aminoacylation_A_Met
re0000000165,Met,true,enzyme_cycle_or_branch,MetRS_Met_ATP:1,MetRS_MetAMP_PPi:1,60.0,true,Aminoacylation_A_Met
re0000000166,Met,false,enzyme_cycle_or_branch,MetRS_MetAMP_PPi:1,MetRS_Met_ATP:1,150.0,true,Aminoacylation_A_Met
re0000000167,Met,false,degradation_sink,MetRS_MetAMP_PPi:1,MetRS_degraded:1|MetAMP:1|PPi:1,0.0,false,Aminoacylation_A_Met
re0000000168,Met,false,free_adenylate_hydrolysis,MetAMP:1,Met:1|AMP:1,0.0,false,Aminoacylation_A_Met
re0000000169,Met,false,degradation_sink,MetRS_AMP:1,MetRS_degraded:1|AMP:1,0.0,false,Aminoacylation_A_Met
re0000000170,Met,true,enzyme_cycle_or_branch,MetRS_AMP:1,MetRS:1|AMP:1,1000.0,true,Aminoacylation_A_Met
re0000000171,Met,false,enzyme_cycle_or_branch,MetRS:1|AMP:1,MetRS_AMP:1,0.0,false,Aminoacylation_A_Met
re0000000172,Met,false,enzyme_cycle_or_branch,MetRS_MetAMP:1,MetRS:1|MetAMP:1,0.07,true,Aminoacylation_A_Met
re0000000173,Met,false,enzyme_cycle_or_branch,MetRS:1|MetAMP:1,MetRS_MetAMP:1,2.4,true,Aminoacylation_A_Met
re0000000174,Met,false,free_adenylate_synthesis,Met:1|AMP:1,MetAMP:1,0.0,false,Aminoacylation_A_Met
re0000000175,Met,false,enzyme_cycle_or_branch,MetRS_MetAMP:1|PPi:1,MetRS_MetAMP_PPi:1,0.0,false,Aminoacylation_A_Met
re0000000176,Gly,false,enzyme_cycle_or_branch,GlytRNAGlyGCC:1,tRNAGlyGCC:1|Gly:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000177,Gly,false,degradation_sink,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyRS_degraded:1|GlyAMP:1|tRNAGlyGCC:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000178,Gly,true,enzyme_cycle_or_branch,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyRS_AMP_GlytRNAGlyGCC:1,22.0,true,Aminoacylation_B_GlyGCC
re0000000179,Gly,false,enzyme_cycle_or_branch,GlyRS_AMP_GlytRNAGlyGCC:1,GlyRS_GlyAMP_tRNAGlyGCC:1,0.0,false,Aminoacylation_B_GlyGCC
